N,q,N2_func,mobile,n,N2,SNP,Nhom1,Nhom2,nhom1,nhom2,log10BF,transcript,Method_A,Method_B
400,0.009,5,True,23.0,18.0,0_1_38,1000,1000,9,7,4.602529043760721,0,1.0,0.0
400,0.01,5,True,26.0,20.0,0_1_39,1000,1000,9,12,5.81891446090185,0,1.0,0.0
500,0.001,5,True,4.0,3.0,0_1_40,1000,1000,1,2,0.5134357253786909,0,1.0,0.0
500,0.002,5,True,8.0,5.0,0_1_41,1000,1000,0,2,2.8744082741580255,0,1.0,0.0
500,0.003,5,True,8.0,8.0,0_1_42,1000,1000,2,3,1.2707954596918665,0,1.0,0.0
500,0.004,5,True,11.0,10.0,0_1_43,1000,1000,3,3,1.7968363088835981,0,1.0,0.0
500,0.005,5,True,16.0,13.0,0_1_44,1000,1000,8,7,1.4753650675278294,0,1.0,0.0
500,0.006,5,True,16.0,15.0,0_1_45,1000,1000,5,7,2.568177182360006,0,1.0,0.0
500,0.007,5,True,24.0,18.0,0_1_46,1000,1000,9,7,3.5992343183010833,0,1.0,0.0
500,0.008,5,True,21.0,20.0,0_1_47,1000,1000,6,6,3.8471478126567553,0,1.0,0.0
500,0.009,5,True,31.0,23.0,0_1_48,1000,1000,10,12,5.593819326478309,0,1.0,0.0
500,0.01,5,True,31.0,25.0,0_1_49,1000,1000,10,17,5.589421187278947,0,1.0,0.0
600,0.001,5,True,3.0,3.0,0_1_50,1000,1000,0,0,0.6772065801314102,0,1.0,1.0
600,0.002,5,True,9.0,6.0,0_1_51,1000,1000,1,0,1.8515551232501257,0,1.0,0.0
600,0.003,5,True,14.0,9.0,0_1_52,1000,1000,5,1,1.3156417961501579,0,1.0,0.0
600,0.004,5,True,18.0,12.0,0_1_53,1000,1000,9,2,1.0599215411756384,0,1.0,0.0
600,0.005,5,True,19.0,15.0,0_1_54,1000,1000,5,3,2.759305290674485,0,1.0,0.0
600,0.006,5,True,25.0,18.0,0_1_55,1000,1000,3,4,6.040711532108199,0,1.0,0.0
600,0.007,5,True,26.0,22.0,0_1_56,1000,1000,8,9,3.5519493472820347,0,1.0,0.0
600,0.008,5,True,26.0,24.0,0_1_57,1000,1000,4,15,5.669671515817599,0,1.0,0.0
600,0.009,5,True,37.0,27.0,0_1_58,1000,1000,9,11,6.592659482009331,0,1.0,0.0
600,0.01,5,True,39.0,30.0,0_1_59,1000,1000,13,15,5.423540342558411,0,1.0,0.0
700,0.001,5,True,4.0,4.0,0_1_60,1000,1000,1,1,0.156916843091345,0,1.0,0.0
700,0.002,5,True,8.0,7.0,0_1_61,1000,1000,2,3,0.6255462636269833,0,1.0,0.0
700,0.003,5,True,14.0,11.0,0_1_62,1000,1000,2,2,2.290239770516508,0,1.0,0.0
700,0.004,5,True,14.0,14.0,0_1_63,1000,1000,2,1,2.2913051505593542,0,1.0,0.0
700,0.005,5,True,20.0,18.0,0_1_64,1000,1000,7,4,1.5650269338267673,0,1.0,0.0
700,0.006,5,True,23.0,21.0,0_1_65,1000,1000,3,8,4.401790601749235,0,1.0,0.0
700,0.007,5,True,29.0,25.0,0_1_66,1000,1000,4,4,5.654739873111986,0,1.0,0.0
700,0.008,5,True,35.0,28.0,0_1_67,1000,1000,8,9,5.177363041374536,0,1.0,0.0
700,0.009,5,True,36.0,32.0,0_1_68,1000,1000,5,10,7.245906215607467,0,1.0,0.0
700,0.01,5,True,41.0,35.0,0_1_69,1000,1000,9,17,6.444066591000155,0,1.0,0.0
800,0.001,5,True,4.0,4.0,0_1_70,1000,1000,0,1,0.7106089810150371,0,1.0,0.0
800,0.002,5,True,8.0,8.0,0_1_71,1000,1000,2,1,0.3975567518444483,0,1.0,0.0
800,0.003,5,True,17.0,12.0,0_1_72,1000,1000,3,1,2.055703429993879,0,1.0,0.0
800,0.004,5,True,19.0,16.0,0_1_73,1000,1000,4,5,2.0365609995802716,0,1.0,0.0
800,0.005,5,True,23.0,20.0,0_1_74,1000,1000,3,6,3.699288682416814,0,1.0,0.0
800,0.006,5,True,25.0,24.0,0_1_75,1000,1000,9,6,1.4463287425551536,0,1.0,0.0
800,0.007,5,True,40.0,29.0,0_1_76,1000,1000,6,7,6.656548019074891,0,1.0,0.0
800,0.008,5,True,37.0,32.0,0_1_77,1000,1000,6,16,5.781910389273023,0,1.0,0.0
800,0.009,5,True,42.0,36.0,0_1_78,1000,1000,5,11,7.923396327903812,0,1.0,0.0
800,0.01,5,True,52.0,40.0,0_1_79,1000,1000,8,7,8.917721246254004,0,1.0,0.0
900,0.001,5,True,6.0,5.0,0_1_80,1000,1000,2,2,-0.06859791762764415,0,1.0,0.0
900,0.002,5,True,11.0,9.0,0_1_81,1000,1000,4,2,0.08402690295435657,0,1.0,0.0
900,0.003,5,True,17.0,14.0,0_1_82,1000,1000,2,2,2.2389001012084897,0,1.0,0.0
900,0.004,5,True,26.0,18.0,0_1_83,1000,1000,4,2,3.258061470221795,0,1.0,0.0
900,0.005,5,True,27.0,23.0,0_1_84,1000,1000,8,2,1.6564836264205705,0,1.0,0.0
900,0.006,5,True,31.0,27.0,0_1_85,1000,1000,7,3,2.9112048399060173,0,1.0,0.0
900,0.007,5,True,38.0,32.0,0_1_86,1000,1000,6,11,5.123115993199913,0,1.0,0.0
900,0.008,5,True,42.0,36.0,0_1_87,1000,1000,10,3,4.083620588564056,0,1.0,0.0
900,0.009,5,True,46.0,41.0,0_1_88,1000,1000,5,10,7.940404512467707,0,1.0,0.0
900,0.01,5,True,60.0,45.0,0_1_89,1000,1000,6,10,11.191625314044815,0,1.0,0.0
1000,0.001,5,True,6.0,5.0,0_1_90,1000,1000,1,0,0.18564741099199855,0,1.0,0.0
1000,0.002,5,True,12.0,10.0,0_1_91,1000,1000,3,1,0.3610851554553369,0,1.0,0.0
1000,0.003,5,True,17.0,15.0,0_1_92,1000,1000,6,1,0.21019577076495793,0,1.0,0.0
1000,0.004,5,True,25.0,20.0,0_1_93,1000,1000,4,1,2.4972544878139438,0,1.0,0.0
1000,0.005,5,True,30.0,25.0,0_1_94,1000,1000,7,5,2.1223694221708573,0,1.0,0.0
1000,0.006,5,True,37.0,30.0,0_1_95,1000,1000,6,6,4.108098783031589,0,1.0,0.0
1000,0.007,5,True,44.0,35.0,0_1_96,1000,1000,7,11,5.176411280240276,0,1.0,0.0
1000,0.008,5,True,49.0,40.0,0_1_97,1000,1000,8,5,5.797257337836928,0,1.0,0.0
1000,0.009,5,True,50.0,45.0,0_1_98,1000,1000,7,11,6.615376901290488,0,1.0,0.0
1000,0.01,5,True,61.0,50.0,0_1_99,1000,1000,8,6,8.726477173904986,0,1.0,0.0
100,0.001,5,True,2.0,1.0,0_2_0,1000,1000,1,3,1.1304508187012683,0,1.0,0.0
100,0.002,5,True,2.0,1.0,0_2_1,1000,1000,0,4,1.606468928000639,0,1.0,0.0
100,0.003,5,True,2.0,2.0,0_2_2,1000,1000,2,6,0.8278216834694604,0,1.0,0.0
100,0.004,5,True,2.0,2.0,0_2_3,1000,1000,5,1,0.2874027294608995,0,1.0,0.0
100,0.005,5,True,4.0,3.0,0_2_4,1000,1000,6,4,1.1666193659082806,0,1.0,0.0
100,0.006,5,True,4.0,3.0,0_2_5,1000,1000,3,5,1.9413495896037742,0,1.0,0.0
100,0.007,5,True,5.0,4.0,0_2_6,1000,1000,3,6,2.712831200726799,0,1.0,0.0
100,0.008,5,True,5.0,4.0,0_2_7,1000,1000,5,9,2.059122287268322,0,1.0,0.0
100,0.009,5,True,5.0,5.0,0_2_8,1000,1000,10,13,1.044420335441218,0,1.0,0.0
100,0.01,5,True,7.0,5.0,0_2_9,1000,1000,12,8,1.8683083505383555,0,1.0,0.0
200,0.001,5,True,1.0,1.0,0_2_10,1000,1000,0,1,0.4767594317597953,0,1.0,0.0
200,0.002,5,True,2.0,2.0,0_2_11,1000,1000,0,1,1.0802721517253007,0,1.0,0.0
200,0.003,5,True,3.0,3.0,0_2_12,1000,1000,3,4,0.4356869557801308,0,1.0,0.0
200,0.004,5,True,4.0,4.0,0_2_13,1000,1000,5,1,0.41561258940894896,0,1.0,0.0
200,0.005,5,True,5.0,5.0,0_2_14,1000,1000,1,9,2.339886023034601,0,1.0,0.0
200,0.006,5,True,7.0,6.0,0_2_15,1000,1000,8,6,0.9956715906121563,0,1.0,0.0
200,0.007,5,True,10.0,8.0,0_2_16,1000,1000,12,5,1.4695729328987233,0,1.0,0.0
200,0.008,5,True,8.0,8.0,0_2_17,1000,1000,7,6,1.6737138534907483,0,1.0,0.0
200,0.009,5,True,9.0,9.0,0_2_18,1000,1000,8,9,1.8868334479230948,0,1.0,0.0
200,0.01,5,True,12.0,10.0,0_2_19,1000,1000,6,10,4.143121057835225,0,1.0,0.0
300,0.001,5,True,2.0,2.0,0_2_20,1000,1000,1,1,0.3202482724261228,0,1.0,0.0
300,0.002,5,True,4.0,3.0,0_2_21,1000,1000,0,2,1.8523560996409776,0,1.0,0.0
300,0.003,5,True,6.0,5.0,0_2_22,1000,1000,2,4,1.5433580418473074,0,1.0,0.0
300,0.004,5,True,7.0,6.0,0_2_23,1000,1000,4,6,1.1692988262013755,0,1.0,0.0
300,0.005,5,True,10.0,8.0,0_2_24,1000,1000,2,6,3.5514015438510325,0,1.0,0.0
300,0.006,5,True,12.0,9.0,0_2_25,1000,1000,3,6,3.9443740931354827,0,1.0,0.0
300,0.007,5,True,13.0,11.0,0_2_26,1000,1000,10,10,1.76846369300699,0,1.0,0.0
300,0.008,5,True,15.0,12.0,0_2_27,1000,1000,7,7,3.537967272126021,0,1.0,0.0
300,0.009,5,True,18.0,14.0,0_2_28,1000,1000,14,11,2.647853347706608,0,1.0,0.0
300,0.01,5,True,19.0,15.0,0_2_29,1000,1000,13,9,3.303215515452428,0,1.0,0.0
400,0.001,5,True,2.0,2.0,0_2_30,1000,1000,1,2,0.13417108582564233,0,1.0,0.0
400,0.002,5,True,5.0,4.0,0_2_31,1000,1000,3,0,0.33658237452206174,0,1.0,0.0
400,0.003,5,True,7.0,6.0,0_2_32,1000,1000,4,2,0.6121403414496888,0,1.0,0.0
400,0.004,5,True,9.0,8.0,0_2_33,1000,1000,2,4,2.1840827283997313,0,1.0,0.0
400,0.005,5,True,12.0,10.0,0_2_34,1000,1000,5,5,1.9617072761347705,0,1.0,0.0
400,0.006,5,True,15.0,12.0,0_2_35,1000,1000,7,5,2.3140513992627354,0,1.0,0.0
400,0.007,5,True,19.0,15.0,0_2_36,1000,1000,9,8,3.0708075955554537,0,1.0,0.0
400,0.008,5,True,18.0,16.0,0_2_37,1000,1000,11,11,2.104480181682025,0,1.0,0.0
400,0.009,5,True,19.0,18.0,0_2_38,1000,1000,13,7,1.9029731468483415,0,1.0,0.0
400,0.01,5,True,22.0,20.0,0_2_39,1000,1000,11,10,3.478740692514814,0,1.0,0.0
500,0.001,5,True,3.0,3.0,0_2_40,1000,1000,2,0,-0.04488916086507778,0,1.0,0.0
500,0.002,5,True,5.0,5.0,0_2_41,1000,1000,0,1,1.6118207314953472,0,1.0,0.0
500,0.003,5,True,10.0,8.0,0_2_42,1000,1000,6,4,0.4691053776335118,0,1.0,0.0
500,0.004,5,True,10.0,10.0,0_2_43,1000,1000,5,3,0.7243404209225511,0,1.0,0.0
500,0.005,5,True,13.0,13.0,0_2_44,1000,1000,4,8,1.9938026901605501,0,1.0,0.0
500,0.006,5,True,17.0,15.0,0_2_45,1000,1000,2,3,4.713031084038859,0,1.0,0.0
500,0.007,5,True,20.0,18.0,0_2_46,1000,1000,7,4,3.0674143219308103,0,1.0,0.0
500,0.008,5,True,24.0,20.0,0_2_47,1000,1000,8,9,3.998949337989542,0,1.0,0.0
500,0.009,5,True,27.0,23.0,0_2_48,1000,1000,9,8,4.620912343794885,0,1.0,0.0
500,0.01,5,True,27.0,25.0,0_2_49,1000,1000,6,15,6.089981755534973,0,1.0,0.0
600,0.001,5,True,4.0,3.0,0_2_50,1000,1000,1,2,0.30842446397757717,0,1.0,0.0
600,0.002,5,True,7.0,6.0,0_2_51,1000,1000,1,2,1.1847164089925493,0,1.0,0.0
600,0.003,5,True,14.0,9.0,0_2_52,1000,1000,3,1,2.1993105883484327,0,1.0,0.0
600,0.004,5,True,14.0,12.0,0_2_53,1000,1000,2,4,2.821161241514275,0,1.0,0.0
600,0.005,5,True,20.0,15.0,0_2_54,1000,1000,6,9,2.6088142742562366,0,1.0,0.0
600,0.006,5,True,22.0,18.0,0_2_55,1000,1000,6,5,3.2199694594150685,0,1.0,0.0
